benchmark,default,tail-calling,ratio
2to3,0.22738159669873614,0.21620839999911065,0.950861473127796
async_generators,0.22646559168739866,0.20590896832679087,0.9092284915892076
async_tree_cpu_io_mixed,0.3388758150395006,0.32929100836627184,0.9717158727538242
async_tree_cpu_io_mixed_tg,0.3427172450271125,0.32752519665906826,0.9556717714428337
async_tree_io,0.4231347083579749,0.37472932334057985,0.885602896521446
async_tree_io_tg,0.4097384600201622,0.37087054502529404,0.9051396957147846
async_tree_memoization,0.22430015833427508,0.20480134500345837,0.913068214148304
async_tree_memoization_tg,0.2155761483202999,0.20853360003093258,0.9673315051584297
async_tree_none,0.18650225667903822,0.1695697733317502,0.9092103031416502
async_tree_none_tg,0.17639751002037277,0.15945875832112505,0.9039739750448212
asyncio_websockets,0.3180389866776144,0.3168637316829214,0.9963046826209258
bpe_tokeniser,2.962073226630067,2.7084165366676944,0.9143651521907322
chaos,0.04361355209257454,0.03586670916993171,0.8223753271414512
comprehensions,1.1323362730782568e-05,9.733621927428734e-06,0.8596052390839585
connected_components,0.3292992033297196,0.32090584667166694,0.9745114577466845
coroutines,0.013489731451651702,0.012440981457863624,0.9222556803634763
coverage,0.046812801241564256,0.049457425414584574,1.0564936107833727
create_gc_cycles,0.0012499082823220911,0.0012660217569646192,1.0128917256333339
crypto_pyaes,0.049993577496691914,0.04162490083350955,0.8326049648330104
deepcopy,0.00018966316307948242,0.0001598398946157431,0.8427566640800922
deepcopy_memo,2.104022339134796e-05,1.7037452190985885e-05,0.8097562404205237
deltablue,0.0022946481506854375,0.0018516916146230262,0.8069610210480003
django_template,0.02509388833520158,0.023374843332082187,0.9314954709227774
docutils,1.6801222901015231,1.6253978265915066,0.967428285528722
dulwich_log,0.04335142623555536,0.039451534165224685,0.9100400515281752
fannkuch,0.2958093866861115,0.2356182533238704,0.7965205430546024
float,0.04775347874383442,0.04018683707884823,0.8415478439680556
gc_traversal,0.0020568714819091836,0.002074190312123392,1.008419986550707
generators,0.019313342293025927,0.01483611895867701,0.7681797761143783
genshi_text,0.01648835458327085,0.014199613541616902,0.8611904523222643
genshi_xml,0.036318045421891536,0.030703413750355443,0.8454038039130888
go,0.08864790998632088,0.06835495249445861,0.7710836330490629
hexiom,0.004382687863593067,0.0034734453648222067,0.7925377012759849
html5lib,0.04077620041789487,0.03605783583285908,0.8842863107234211
json,0.0031369906732531187,0.002979023385766292,0.9496436859587435
json_dumps,0.007048422081667619,0.0064835904156401135,0.9198640973138389
json_loads,1.4717903156906687e-05,1.4456016601419228e-05,0.9822062590916992
k_core,1.7309102399585148,1.7075975449872203,0.9865315402075077
logging_format,7.028161945754618e-06,6.337263589368073e-06,0.9016957261771859
logging_simple,6.5300948904223334e-06,5.781173419829125e-06,0.8853123142679521
mako,0.006857225624359368,0.006123797396139707,0.8930430077122946
many_optionals,0.00043789845064263013,0.0007614941276339475,1.7389742450936518
mdp,1.6384122300194577,1.3975226216522667,0.8529737486369164
meteor_contest,0.07687428833451122,0.06950219082452046,0.9041019088474448
nbody,0.07408809250143046,0.05325619333889335,0.7188225737876178
nqueens,0.06356420750186469,0.05402182499916914,0.849878054368638
pathlib,0.03210421957774088,0.024330638333534202,0.7578641889928884
pickle_pure_python,0.00023680947142565856,0.0002014739609027553,0.8507850623111748
pidigits,0.15233686834884186,0.14598980500207592,0.9583353431407585
pprint_pformat,1.1261632999715705,0.9680831366529067,0.8596294486575309
pprint_safe_repr,0.5578024733345955,0.47804042500210925,0.8570066427714792
pycparser,0.7381962449755519,0.6642785833372424,0.8998671936610061
pyflate,0.3153141866903752,0.25968653332286823,0.8235802392800965
pylint,0.20093358998807767,0.19861518499674274,0.9884618346217151
python_startup,0.026058602686680386,0.025993496250302995,0.9975015377009961
python_startup_no_site,0.019846154437982478,0.019575455687154318,0.9863601408688988
raytrace,0.1905311367008835,0.16591985332391535,0.8708280242110473
regex_compile,0.08816934418476498,0.0748238283325918,0.8486376872191912
regex_dna,0.11242491002970685,0.11517395499007156,1.0244522762761235
regex_effbot,0.0014225758959461625,0.001395904208329739,0.9812511320538831
regex_v8,0.013542762705280134,0.014082174164165432,1.039830237790033
richards,0.03071662083384581,0.02782011542003602,0.9057023417556983
richards_super,0.03514430458696249,0.03215514042143089,0.9149459862511978
scimark_fft,0.1923939966519053,0.15190503000048922,0.7895518188923952
scimark_lu,0.0668767108155104,0.054412227498445036,0.8136199707630577
scimark_monte_carlo,0.04711448249872774,0.03698615375033114,0.785027273754517
scimark_sor,0.09100477414516112,0.0674905383416141,0.7416153600245234
scimark_sparse_mat_mult,0.0027212819012978192,0.0022627212763836725,0.8314909511229056
shortest_path,0.35949258333227285,0.34786264000770944,0.9676490034460209
spectral_norm,0.06153773581221079,0.05113700084233035,0.8309860635493735
sphinx,0.6581923616817221,0.637763338314835,0.9689619257891573
sqlglot_v2_normalize,0.07358779415565854,0.06686299917249319,0.9086153476901272
sqlglot_v2_optimize,0.035036348755238575,0.032205541676376015,0.9192037075941224
sqlglot_v2_parse,0.0008923407037097301,0.0007395227795768733,0.8287448689748809
sqlglot_v2_transpile,0.001100831860579395,0.0009333411851306058,0.8478508104220068
sqlite_synth,1.5890619147048331e-06,1.5563696289078166e-06,0.9794266758931863
subparsers,0.016092288124491462,0.044921355418046004,2.7914834155671433
sympy_expand,0.3022334000018115,0.2691487399977632,0.890532747195214
sympy_integrate,0.013521614797840205,0.012206053854364048,0.9027068169634377
sympy_str,0.17613196501042694,0.15777571499735737,0.8957812682554079
sympy_sum,0.09054807584034279,0.08214016834196324,0.9071442720306433
telco,0.0048936594270344354,0.0045352945314031485,0.926769547212145
thrift,0.0005068243975680768,0.00048183454984306685,0.950693281844915
tomli_loads,1.4671393066722278,1.1738686383507835,0.8001071425271522
typing_runtime_protocols,0.00010612173342299987,9.890616209797068e-05,0.9320066578985474
unpickle_pure_python,0.00015541043487852824,0.00012262863672731327,0.789063082045695
xml_etree_generate,0.058688195010957615,0.05146090166332821,0.8768526899442042
xml_etree_iterparse,0.06374318584566936,0.06036289666662924,0.9469701877276067
xml_etree_parse,0.09123060165438801,0.08898039332901438,0.9753349393233405
xml_etree_process,0.041538795828819274,0.03667269333673175,0.8828540309126761
